岗位名称,公司名称,公司类型,薪资范围,技能要求,数据来源,详情页URL
Java开发实习实习工程师,清云智飞,未知,150-200/天,"可转正实习, 可转正实习",实习僧,https://www.shixiseng.com/intern/inn_qqnwleuda50o?pcm=pc_SearchList
文员实习/商务部实习,睿民科技,未知,150-180/天,远程实习,实习僧,https://www.shixiseng.com/intern/inn_jxenjxcezvtk?pcm=pc_SearchList
实习讲师,新祥旭考研,未知,200-400/天,远程实习,实习僧,https://www.shixiseng.com/intern/inn_x87ajqj0d9cu?pcm=pc_SearchList
投资实习岗,方广资本,未知,150-300/天,"节日福利, 暑期实习",实习僧,https://www.shixiseng.com/intern/inn_sguy79bdclt4?pcm=pc_SearchList
实习机械工程师,钢流电磁,未知,150-250/天,"实习津贴, 餐补",实习僧,https://www.shixiseng.com/intern/inn_npn7wwntrmxb?pcm=pc_SearchList
文案实习,种重,未知,120/天,"不加班, 暑期实习, 地铁周边",实习僧,https://www.shixiseng.com/intern/inn_m1loqrgnqe6c?pcm=pc_SearchList
实习分析师,智物资本,未知,薪资面议,"远程实习, 专业培训, 不打卡, 实习证明, 留学生实习, 地铁周边, 弹性工作, 项目奖金",实习僧,https://www.shixiseng.com/intern/inn_m6ts29xqyrpl?pcm=pc_SearchList
实习老师,英森,未知,300-500/天,"实习证明, 接受小白, 导师一带一, 免费下午茶",实习僧,https://www.shixiseng.com/intern/inn_m7avityzcjyo?pcm=pc_SearchList
实习老师,英森,未知,250-500/天,"实习证明, 接受小白, 导师一带一",实习僧,https://www.shixiseng.com/intern/inn_tuvhine2vapk?pcm=pc_SearchList
视频剪辑实习,阿思丹ASEEDER,未知,120-150/天,"周末双休, 接受大一大二, 留学生实习",实习僧,https://www.shixiseng.com/intern/inn_vsa5hjha9dma?pcm=pc_SearchList
实习助教,小海豚,未知,100-150/天,"特殊教育, 儿童心理, 可转正实习, 暑期实习, 寒假实习, 接受大一大二",实习僧,https://www.shixiseng.com/intern/inn_w1bhkhzsw1lg?pcm=pc_SearchList
实习电子工程师,齐亚斯Ziasiot,未知,100-150/天,"资深导师指导
免费集体宿舍
免费午饭
转正机会",实习僧,https://www.shixiseng.com/intern/inn_r0re470z3jb6?pcm=pc_SearchList
实习剪辑师,吉林零工市场,未知,薪资面议,"远程实习, 接受大一大二, 零基础实习, 不打卡",实习僧,https://www.shixiseng.com/intern/inn_dxumdhubb51g?pcm=pc_SearchList
行业研究实习岗,新成开元,未知,100/天,"地铁周边, 实习津贴, 免费就餐",实习僧,https://www.shixiseng.com/intern/inn_2wixnbw6f1al?pcm=pc_SearchList
实习编辑,中国教育在线,未知,100-150/天,周末双休,实习僧,https://www.shixiseng.com/intern/inn_vw2ud7go0swg?pcm=pc_SearchList
实习编辑,中国教育在线,未知,100-120/天,周末双休,实习僧,https://www.shixiseng.com/intern/inn_tbngvndeurwq?pcm=pc_SearchList
CRM实习,之禾ICICLE,未知,150-180/天,"一对一导师, 地铁周边",实习僧,https://www.shixiseng.com/intern/inn_uteh8o2jls11?pcm=pc_SearchList
行业研究员（实习）,华宇软件,未知,120-200/天,"一对一导师, 不打卡, 实习津贴",实习僧,https://www.shixiseng.com/intern/inn_wb3vggvfu6rx?pcm=pc_SearchList
实习讲师,公能文研院,未知,100-200/天,"周末双休, 可转正实习, 不打卡, 节日福利, 可接受研一研二",实习僧,https://www.shixiseng.com/intern/inn_q7ifxtmqmp5e?pcm=pc_SearchList
投资部实习岗,中宏保险,未知,150/天,"地铁周边, 实习津贴",实习僧,https://www.shixiseng.com/intern/inn_ypffqutinyjt?pcm=pc_SearchList
实习记者,国防教育周刊,未知,薪资面议,"接受大一大二, 周末双休",实习僧,https://www.shixiseng.com/intern/inn_3cw9fssv33is?pcm=pc_SearchList
实习学管,英狮教育,未知,50-100/天,"留学生实习, 接受大一大二, 远程实习, 零基础实习",实习僧,https://www.shixiseng.com/intern/inn_loj9q2wxepsa?pcm=pc_SearchList
实习主播,耕读兴农,未知,80-150/天,"实习津贴, 一对一导师, 高薪资, 校内实习, 留学生实习, 零基础实习, 可转正实习",实习僧,https://www.shixiseng.com/intern/inn_zjz3rbrpsamy?pcm=pc_SearchList
实习助理,德光汇润投资,未知,100-200/天,"接受大一大二, 可转正实习, 远程实习",实习僧,https://www.shixiseng.com/intern/inn_liqpux3pzfgv?pcm=pc_SearchList
记者实习,镜像娱乐,未知,180-300/天,"远程实习, 可转正实习, 暑期实习, 接受大一大二, 留学生实习, 节日福利, 不打卡, 可转正, 实习津贴, 弹性工作",实习僧,https://www.shixiseng.com/intern/inn_gvfdknn5gwna?pcm=pc_SearchList
实习分析师,投中,未知,150/天,"实习津贴, 地铁周边",实习僧,https://www.shixiseng.com/intern/inn_6u29jfcnb5th?pcm=pc_SearchList
实习AE,麦肯光明,未知,50-80/天,"公司氛围好, 学习成长快",实习僧,https://www.shixiseng.com/intern/inn_nloypu6cwpto?pcm=pc_SearchList
实习剪辑师,幻维数码,未知,100-120/天,"可转正实习, 免费班车",实习僧,https://www.shixiseng.com/intern/inn_080gb1y2aiji?pcm=pc_SearchList
实习设计,麦肯光明,未知,50-80/天,"公司氛围好, 学习成长快",实习僧,https://www.shixiseng.com/intern/inn_1ciq1xjzkc3e?pcm=pc_SearchList
量化实习岗,广发证券,未知,80/天,实习津贴,实习僧,https://www.shixiseng.com/intern/inn_i7mh705piaq5?pcm=pc_SearchList
实习设计,靖羽公关,未知,200-300/天,"周末双休, 零基础实习, 实习津贴",实习僧,https://www.shixiseng.com/intern/inn_nfu0egbgxzdc?pcm=pc_SearchList
实习编辑,华商网,未知,薪资面议,"地铁周边, 周末双休",实习僧,https://www.shixiseng.com/intern/inn_ppys7dpkjbh8?pcm=pc_SearchList
实习班主任,华询教育,未知,200-300/天,"接受大一大二, 全勤奖, 提供午餐, 地铁周边, 实习证明, 可转正实习",实习僧,https://www.shixiseng.com/intern/inn_vwekkev2vrlz?pcm=pc_SearchList
实习教师,好未来,未知,180-300/天,"远程实习, 不加班, 一对一导师, 不限经验, 不限专业",实习僧,https://www.shixiseng.com/intern/inn_wpiei0ziyu5e?pcm=pc_SearchList
行政助理（实习）,众慧点金,未知,150-200/天,"可转正实习, 节日福利, 周末双休, 寒假实习, 餐补",实习僧,https://www.shixiseng.com/intern/inn_tofttkdmrsum?pcm=pc_SearchList
日语翻译实习,樱通翻译,未知,150-200/天,"可转正, 工作氛围好",实习僧,https://www.shixiseng.com/intern/inn_cpybiswsfddc?pcm=pc_SearchList
